"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"395a8811fc65a930","LrTMAX","https://github.com/remov-b4-flight/LrTMAX","已读精确缓存 README（GitHub 200）","通用模块/个人桌面控制器","创客宏键盘与桌面控制器","开源设计与DIY小批量制作","淘汰为新商业机会","STM32F072Cx 电路板与固件组成的 Lightroom Classic MIDI2LR 控制器","Lightroom/MIDI2LR 的个人创作者；缓存未见购买或机构客户证据","用旋钮调节 RAW/JPEG 开发参数","", "README 仅说明项目、兄弟项目视频和照片，未给出价格、订单或预装交付","缓存未提供直接竞品对照，不能证明宏控制器存在竞争空白","依赖 STM32 板卡、MIDI2LR 软件和主机 Lightroom 工作流","未见可量产 BOM、治具、外壳或包装资料","兼容 Lightroom、MIDI2LR 与用户映射会形成长期支持负担","USB 供电与桌面控制器的基础电气风险；未见认证资料","README 未给出明确硬件许可证；并声明 Lightroom 是 Adobe 注册商标","README 链接 LrTMAX 命名照片，但缓存未核到可用于销售的独立产品主图","淘汰","精确 README 明确它是基于 STM32、依赖 MIDI2LR 的个人 Lightroom 控制板；没有售价、订单、可复制交付或硬件许可边界，且桌面宏控制器的竞争空白未被缓存证据证明，按通用控制器淘汰。","https://github.com/remov-b4-flight/LrTMAX|https://raw.githubusercontent.com/remov-b4-flight/LrTMAX/HEAD/README.md","2026-07-26"
"33875274a42e2a1e","Omni-Cube","https://github.com/Viktr0n/Omni-Cube","已读精确缓存 README（GitHub 200）","教程/教育拼装/个人项目","游戏机与互动展示原型","学校项目展示与DIY制作","淘汰为新商业机会","以 Raspberry Pi 3B、全向显示器、ESP32 手柄和 3D 打印机箱组成的双人 Pong 游戏机","学校展示者和创客；README 明确为中学毕业论文","以 360 度显示改善多人观看角度","", "README 说明毕业论文、元件和用户手册，没有价格、订单、众筹或售后证据","缓存未提供游戏机直接竞品或需求验证","依赖 Raspberry Pi 3B、RA8875 显示器、ESP32/ESP32-S3、BLE 和 3D 打印","显示、运动机构、无线手柄和 3D 打印外壳均需手工集成","多板卡、BLE 配对、游戏软件和旋转显示机构会带来较高支持负担","电机、锂电或供电方案未在缓存中完整说明；无认证资料","缓存 README 未给出许可证","README 图展示项目控制器和主机，但只是毕业项目展示图，非销售级英雄图","淘汰","精确 README 把 Omni-Cube 定义为中学毕业论文游戏机；价值来自树莓派、现成显示和自制手柄的拼装，未见可销售 SKU、市场验证或长期交付路径，按教育/个人 Demo 淘汰。","https://github.com/Viktr0n/Omni-Cube|https://raw.githubusercontent.com/Viktr0n/Omni-Cube/HEAD/README.md","2026-07-26"
"631ee59144ff1d9e","opengb","https://github.com/amorphitec/opengb","已读精确缓存 README（GitHub 200）","非硬件软件/固件/库/网页项目","3D 打印机控制软件","开源软件维护","淘汰为新商业机会","Open Gigabot 的网页前端和 Python/软件控制栈","Open Gigabot 用户；无硬件购买者证据","控制大型 3D 打印机","", "README 明确项目曾获 re:3D 支持但已于 2017 年停止，OctoPrint 成为更成熟替代方案","README 直接指出 OctoPrint 是资源更充分、更成熟的替代方案","依赖 Open Gigabot、OctoPrint 生态、网页前端和 Debian 打包环境","本体不是可制造硬件","安装、软件兼容与停更风险高","无独立硬件合规事项；打印机系统责任仍在外部设备","缓存 README 未给出许可证","README 未提供硬件产品主图","淘汰","精确 README 明确 OpenGB 是已停更的软件控制项目，并直接说明 OctoPrint 已成为更成熟的替代方案；它不是独立硬件产品，按软件和被替代项目淘汰。","https://github.com/amorphitec/opengb|https://raw.githubusercontent.com/amorphitec/opengb/HEAD/README.md","2026-07-26"
"90d99ff0063bf604","Snowflake-Hardware","https://github.com/Tygo-van-den-Hurk/Snowflake-Hardware","已读精确缓存 README（GitHub 200）","教程/教育拼装/个人项目","客制化机械键盘","个人定制与DIY制作","淘汰为新商业机会","作者的第一把可定制分体键盘，包含硬件与软件文档入口","作者本人和同类键盘爱好者；无实际付费客户证据","获得适合作者的可携带分体键盘","", "README 只叙述个人学习和制作历程，未给出售价、订单、成品交付或客户资料","缓存未提供直接竞品对照，不能证明客制键盘的竞争空白","依赖 Pro Micro footprint、键盘软件栈和用户自行订 PCB/外壳","未见量产 BOM、测试、装配或包装资料","分体键盘固件、键位、兼容性和装配会带来支持负担","低压 USB 设备；未见认证资料","README 徽章指向 Eclipse Public License v2.0，但未分清硬件、软件和文档边界","README 仅有 SVG 标识，未核到独立实体产品主图","淘汰","精确 README 明确 Snowflake 是作者的第一把自制键盘和学习旅程；没有购买者、价格或交付证据，且仅凭个人定制资料不能证明客制键盘市场空白，按个人DIY项目淘汰。","https://github.com/Tygo-van-den-Hurk/Snowflake-Hardware|https://raw.githubusercontent.com/Tygo-van-den-Hurk/Snowflake-Hardware/HEAD/README.md","2026-07-26"
"f2dbd334ce00d5f2","stm8-temperature-controller","https://github.com/davidseiler/stm8-temperature-controller","已读精确缓存 README（GitHub 200）","通用模块/开发板/研究原型","3D 打印机腔体温控","开源固件与DIY控制板","淘汰为新商业机会","STM8S003K3 温控固件和需要自行组合的传感器、LCD、风扇、旋钮及降压模块","3D 打印机改装者；缓存未见付费客户","维持 3D 打印机封闭腔体恒温","", "README 提供部件清单和编译/烧录步骤，没有价格、销量、订单或预装设备证据","缓存未提供竞品或价格比较，不能证明腔体温控有空白","依赖 STM8、DS18B20、LCD1602、风扇、EC11 和现成降压模块","需要用户自行采购并装配多种部件；未见完整 PCB、治具或量产资料","温控参数、传感器偏差、风扇和电源故障会带来持续支持","温控与打印机腔体用电存在热安全风险；缓存无认证或保护说明","缓存 README 未给出许可证","README 未提供项目实体主图","淘汰","精确 README 是 STM8 固件加零散部件清单，面向自行改装的 3D 打印机用户；没有完整成品、市场验证或安全交付资料，按通用DIY温控方案淘汰。","https://github.com/davidseiler/stm8-temperature-controller|https://raw.githubusercontent.com/davidseiler/stm8-temperature-controller/HEAD/README.md","2026-07-26"
"62cd5b1a7ccd8b48","TeensyMidiToRS232C","https://github.com/Oran2009/TeensyMidiToRS232C","已读精确缓存 README（GitHub 200）","通用模块/个人专业接口改装","专业音乐与视频设备接口","开源设计与个人改装","淘汰为新商业机会","用 Teensy 4.1、MAX3232 和 USB-C 转接把 MIDI 映射为 Panasonic WJ-MX30 视频混音器 RS-232C 命令的个人接口","拥有特定旧 Panasonic 混音器的演出用户；未见付费客户","在现场演出中同步控制 MIDI 音频与老式视频混音器","", "README 有图片、用途和未来功能，但硬件/软件说明仍标注 TODO，未见价格、订单或销售渠道","缓存未提供同类接口、价格或需求规模证据","依赖 Teensy 4.1、MAX3232 成品板、USB MIDI 控制器和特定 Panasonic WJ-MX30","现成模块拼接，硬件文档尚未完成","映射维护、旧设备兼容和现场故障支持风险高","低压接口风险较低，但目标老式设备兼容和电气隔离资料不足","README 明确为 MIT，但仅对仓库资料，外部设备协议与商标边界未说明","README 有正反面实体照片，但未证明可销售成品交付","淘汰","精确 README 证明这是针对个人 Panasonic WJ-MX30 设备的 Teensy/MAX3232 接口，关键硬件和软件文档仍是 TODO；没有市场、售价或可复制交付证据，按第三方板卡改装淘汰。","https://github.com/Oran2009/TeensyMidiToRS232C|https://raw.githubusercontent.com/Oran2009/TeensyMidiToRS232C/HEAD/README.md","2026-07-26"
"03b05e54f7601337","openmicrokbd","https://github.com/conol-ai/openmicrokbd","已读精确缓存 README（GitHub 200）","通用模块/开发板/研究原型","创客宏键盘与桌面控制器","开源 PCB、固件与伴随桌面软件","淘汰为新商业机会","13 键、旋钮、摇杆和触摸板的 STM32F072 USB-C 宏键盘","桌面创作者和开发者；未见实际购买客户","把可编程快捷键、旋钮和触控输入放到桌面工作流","", "README 列出 PCB 输出、BOM 和固件/桌面应用，但 Gerber、钻孔、贴片和最终布局文件仍说明将来发布；未见售价或订单","缓存未提供直接竞品和订单证据，不能证明宏键盘品类有空白","依赖 CoHDL 编译器、STM32、Kailh/EC11/SK6812 等标准供应链及伴随应用","量产交付文件尚未发布，且 CoHDL 编译器尚未开源","固件、桌面应用、RGB 和USB兼容性会形成支持负担","USB/ESD设计在 README 中有说明，但无成品认证信息","README 标注 MIT；同时 CoHDL 编译器未开源，且“Codex Micro”商标使用需保持独立性","README 有设计描述但未核到销售级实体英雄图","淘汰","精确 README 显示它是资料较完整的宏键盘原型，但关键制造文件仍待发布、依赖未开源 CoHDL 工具链，并涉及“Codex Micro”商标表述；没有市场或订单证据，不能作为新商业机会。","https://github.com/conol-ai/openmicrokbd|https://raw.githubusercontent.com/conol-ai/openmicrokbd/HEAD/README.md","2026-07-26"
"5457787c3417b06d","OSRTT","https://github.com/andymanic/OSRTT","已读精确缓存 README（GitHub 200）","垂直专业设备/显示器响应时间测试工具","显示器测试与评测工具","开源设计、预装小批量设备与技术支持","保留为观察名单","由测量硬件、Arduino 固件和 Windows 测试程序组成的 LCD 输入延迟/响应时间工具","显示器评测者、发烧友和需要可重复测试的实验室；README 未给出实际订单","降低显示器响应时间测试的设备门槛并保存原始测试结果","约100（预计预装，README 估价）","README 提供完整使用限制、原始/处理结果文件流程、预装价格意向和直接购买联系方式，但没有销量、校准或第三方测量验证","缓存未给出直接竞品和价格对照，竞争空白尚未验证","依赖 USB 设备、Arduino CLI、Adafruit SAMD core、Windows Forms 程序和被测显示器亮度条件","传感器高度、遮光、装配和重复性需要一致的治具与校准流程","README 承认串口和算法限制，结果解释与远程排障会带来支持成本","测量误差、亮度和显示器设置会影响结论；无认证或计量校准证明","README 声明全项目 GPLv3，但又要求闭源或商业制造者联系作者，商业许可边界需澄清","README 链接文档和购买入口图片，但缓存未独立核验销售级成品主图","观察名单","精确 README 证明 OSRTT 是带软件闭环、预装报价意向和明确测试场景的独立工具；但校准/重复性、竞品价格和实际订单均未证明，且 GPL 与商业制造表述需厘清，因此只列观察名单。","https://github.com/andymanic/OSRTT|https://raw.githubusercontent.com/andymanic/OSRTT/HEAD/README.md","2026-07-26"
"572caac5ee0df2eb","8-8-8-LEDCUBE","https://github.com/lekhashree21/8-8-8-LEDCUBE","已读精确缓存 README（GitHub 200）","教程/教育拼装/个人项目","LED 灯光展示与电子教学","DIY教程与项目展示","淘汰为新商业机会","由 512 个 LED、Arduino/ATmega328P、移位寄存器和晶体管手工焊接的 8×8×8 灯光立方体","电子学习者和创客；无付费客户证据","学习复用、扫描和灯光动画","", "README 是部件、接线、上传代码和制作步骤，没有价格、订单、成品交付或售后资料","缓存未提供竞品或需求证据；LED 灯光教学项目不能据此推导空白","依赖 Arduino/ATmega328P、Proteus 和大量标准 LED/移位寄存器","512 个 LED 的手工焊接、一致性和返修难度高","动画代码、焊点、驱动和电源故障均需用户支持","低压大电流和焊接风险；无成品认证资料","缓存 README 未给出许可证","缓存未核到可销售成品英雄图","淘汰","精确 README 是典型的 LED 立方体制作教程，核心价值是学习多路复用和手工装配；没有可复制的产品交付、客户或市场证据，按教育拼装项目淘汰。","https://github.com/lekhashree21/8-8-8-LEDCUBE|https://raw.githubusercontent.com/lekhashree21/8-8-8-LEDCUBE/HEAD/README.md","2026-07-26"
"88df7696fe306d30","OpenC16Cart","https://github.com/SukkoPera/OpenC16Cart","已读精确缓存 README（GitHub 200）","高价值维修替换件/复古电脑扩展","复古电脑维修与兼容配件","开源设计、PCB制造与社区支持","保留为市场参考","适用于 Commodore 16/Plus-4 的开源 8/16/32KB ROM 卡带 PCB","Commodore 264 系列维修者和复古电脑爱好者；README 未见单品订单数据","替代稀缺且被拆毁作供体的原装卡带，并载入多组 ROM","", "README 说明原装卡带罕见，并提供 PCBWay 制造支持和 Telegram 支持渠道；没有成品售价或订单数据","缓存未给出当前替代品价格或销量，不能证明仍有可进入的竞争空白","依赖特定 Commodore 264 硬件、EPROM/EEPROM、跳线和用户刷写 ROM","小众旧平台、芯片来源和兼容性测试会限制制造规模","ROM映像、跳线设置与老机兼容性需要技术支持","低压插卡产品；老机损坏和ROM版权使用边界需注意","README 仅称 Open Hardware 并要求修改回馈，未给出可判定的正式硬件许可证","README 有命名 Board 渲染图，能够说明项目本体但不等于销售主图","市场参考案例","精确 README 证明 OpenC16Cart 是解决真实复古维修/替换痛点的实体 PCB，并有制造与社区入口；但只有小众历史需求、没有成品价格或订单，且许可边界不清，保留为市场参考而非新机会。","https://github.com/SukkoPera/OpenC16Cart|https://raw.githubusercontent.com/SukkoPera/OpenC16Cart/HEAD/README.md","2026-07-26"
